farmer_age,years_experience,land_acres,annual_farm_revenue,alt_income_source,alt_annual_income,total_annual_income,collateral_type,collateral_value,credit_score,loan_amount_requested,approved
73,50,74.25,3005167.85,Poultry,294476.71,3299644.55,Land Title Deeds,3763146.27,636,1887788.61,1
27,5,98.71,2627639.59,Government Pension,61076.34,2688715.93,Land Title Deeds,6193177.98,789,2543339.33,1
74,50,41.29,1369141.15,None,0,1369141.15,Land Title Deeds,3637776.67,432,1069906.5,1
65,43,20.13,725108.66,None,0,725108.66,Land Title Deeds,1161443.48,720,550680.68,1
66,45,26,893871.49,None,0,893871.49,Tractor/Machinery,1455899.91,810,699970.27,1
42,19,23.19,750611.94,Dairy,113467.81,864079.76,Tractor/Machinery,869730.33,547,647312.96,1
64,44,8.53,142699.45,Dairy,143782.67,286482.12,Tractor/Machinery,685624.13,605,259027.9,1
75,50,12.21,360070.5,None,0,360070.5,Land Title Deeds,850778.67,586,320364.54,1
71,48,28.57,1159532.31,Poultry,106931.9,1266464.21,Land Title Deeds,1683625.49,703,796877.06,1
34,13,83.33,2373497.98,Dairy,96945.74,2470443.72,Gold/Jewelry,252029.43,548,2139240.98,1
74,50,22.88,822273.24,None,0,822273.24,Land Title Deeds,1634053.44,431,616364.91,1
38,17,17.23,659023.44,None,0,659023.44,Land Title Deeds,906072.24,837,450283.08,1
64,44,30.47,363825.95,None,0,363825.95,Gold/Jewelry,533092.63,711,815017.3,1
36,14,88.82,2080713.56,Agri-Services,87158.42,2167871.98,Land Title Deeds,4825055.79,660,2302860.14,1
49,26,48.14,1499896.86,Dairy,72943.33,1572840.19,Land Title Deeds,2645514.46,725,1266549.03,1
61,41,65.45,1567982.25,None,0,1567982.25,Land Title Deeds,4244967.92,683,1696368.18,1
38,15,98.31,2528542.4,Dairy,191392.68,2719935.09,Land Title Deeds,9672221.68,527,2516682.3,1
61,37,8.84,117830.19,Poultry,197866.16,315696.36,Land Title Deeds,716151,648,296695.24,1
31,7,62.47,1862929.72,Retail Shop,44808.93,1907738.65,Land Title Deeds,3990998.6,763,1638078.94,1
53,29,35.37,1141374.29,None,0,1141374.29,None,0,533,958131.78,0
56,35,24.56,519763.5,None,0,519763.5,Tractor/Machinery,1492663.7,533,641595.16,1
58,36,10.88,278645.28,None,0,278645.28,Land Title Deeds,965106.38,530,293146.98,1
46,22,3.26,60380.29,Retail Shop,43408.8,103789.09,Land Title Deeds,188198.07,618,117679.63,1
42,20,21.69,606031.11,Agri-Services,93654.39,699685.5,Land Title Deeds,1525298.08,690,641421.45,1
21,1,42.92,1428639.95,Agri-Services,61149.08,1489789.04,Land Title Deeds,4170486.8,507,1103446.09,1
29,6,5.08,135355.51,Government Pension,112379.17,247734.68,Land Title Deeds,290326.3,799,187839.94,1
63,40,10.84,381613.94,None,0,381613.94,Tractor/Machinery,1228691.86,416,327209.95,1
37,14,89.23,3390777.38,Dairy,113213.8,3503991.18,Tractor/Machinery,1247811.37,592,2241164.92,1
25,1,66.02,1660463.36,None,0,1660463.36,Tractor/Machinery,1162493.44,724,1685751.08,1
35,12,84.27,2805333.08,None,0,2805333.08,Land Title Deeds,6070821.8,585,2158408.97,1
55,35,30.63,699248.68,Poultry,213196.55,912445.23,Land Title Deeds,2620109.23,556,843070.41,1
52,29,4.71,146753.78,None,0,146753.78,Gold/Jewelry,468003.94,615,182667.57,1
59,39,48.56,1115195.33,Poultry,166391.75,1281587.09,Land Title Deeds,2499105.98,559,1281864.46,1
43,23,23.11,694195.38,None,0,694195.38,Land Title Deeds,1555843.86,503,613738.71,1
34,11,13.37,384715.79,None,0,384715.79,Land Title Deeds,820490.19,772,373293.69,1
51,30,88.23,3464023.7,Retail Shop,128929.92,3592953.62,Land Title Deeds,8487885.91,678,2296693.96,1
71,47,68.96,2318699.82,Poultry,163881.98,2482581.8,Land Title Deeds,6083541.68,615,1803734.56,1
26,3,61.27,2004491.1,Dairy,100351.53,2104842.63,Land Title Deeds,3428537.67,520,1620439.67,1
37,13,77.06,1801234.29,None,0,1801234.29,Land Title Deeds,7022362.21,729,2017985.6,1
25,2,19.36,771833.24,Dairy,142381.28,914214.52,Land Title Deeds,1125460.03,601,497679.35,1
55,35,82.17,2736276.65,None,0,2736276.65,Land Title Deeds,4330291.37,581,2076403.15,1
32,8,71.41,1654280.42,Retail Shop,102715.5,1756995.92,Land Title Deeds,4656178.32,454,1816318.94,1
61,38,52.2,2193473.68,None,0,2193473.68,Land Title Deeds,3378611.12,848,1358516.7,1
48,25,35.74,965017.27,Dairy,66843.84,1031861.11,Land Title Deeds,2616436.14,432,903843.66,1
61,37,7.81,254840.06,Retail Shop,73170.35,328010.41,Land Title Deeds,720109.3,639,210912.04,1
57,37,79.37,2151895.53,None,0,2151895.53,Land Title Deeds,6889996.63,324,2012142.4,1
23,0,4.8,168237.55,Dairy,135525.6,303763.14,Land Title Deeds,364543.39,679,212121.92,1
57,36,3.25,85699.18,Agri-Services,40719.56,126418.74,Land Title Deeds,176270.86,588,138940.93,0
45,23,98.72,3613466.57,Retail Shop,69349.49,3682816.07,Land Title Deeds,7655207.33,646,2534247.69,1
39,15,85.92,1582040.39,None,0,1582040.39,None,0,659,2202866.57,0
54,34,64.71,1316243.94,Dairy,109162.58,1425406.52,Land Title Deeds,4334614.75,579,1673477.27,1
46,25,24.08,755476,Dairy,71035.28,826511.28,Land Title Deeds,2098590.78,543,641962.32,1
63,39,14.46,428953.66,Poultry,85522.82,514476.48,Land Title Deeds,983278.79,693,460992.43,1
63,41,65.46,967348.85,Dairy,170194.26,1137543.12,Gold/Jewelry,204580.63,682,1656401.31,1
57,36,94.55,3601557.5,None,0,3601557.5,Land Title Deeds,7967332.31,635,2459078.6,1
75,50,98.48,3477288.1,Dairy,101302.07,3578590.17,Land Title Deeds,6891362.13,659,2488510.65,1
51,28,17.74,393659.27,None,0,393659.27,Tractor/Machinery,332460.82,550,540384.38,0
35,13,34.96,1224012.08,Poultry,135501.4,1359513.47,Land Title Deeds,2741577,701,908860.11,1
56,36,50.62,846799.46,None,0,846799.46,Land Title Deeds,5055729.87,417,1357422.74,1
40,17,53.54,1579159.41,None,0,1579159.41,Land Title Deeds,3454178.98,839,1411369.61,1
32,8,49.86,1865585.5,None,0,1865585.5,Land Title Deeds,4065416.57,676,1276510.97,1
39,19,46.08,1644411.61,None,0,1644411.61,Land Title Deeds,4014649.03,364,1171927.84,1
33,10,49.86,1676108.15,None,0,1676108.15,Land Title Deeds,4559351.72,620,1335316.42,1
60,38,56.17,1747250.66,None,0,1747250.66,Land Title Deeds,4595461.11,615,1418111.59,1
43,20,89.03,3806908.8,None,0,3806908.8,Land Title Deeds,5750028.34,631,2307908.6,1
26,4,65.19,1616182.58,None,0,1616182.58,Land Title Deeds,4488064.44,549,1695853.17,1
70,48,88.74,2764173.29,Dairy,61540.16,2825713.45,Land Title Deeds,5018134.15,519,2265886.81,1
47,23,34.71,1452299.28,None,0,1452299.28,Tractor/Machinery,776291.88,495,909150.94,0
66,46,72.87,3367970.11,None,0,3367970.11,Tractor/Machinery,995896.07,650,1919618.33,1
50,26,48.89,1482721.98,Retail Shop,108588.73,1591310.71,Land Title Deeds,4238963.47,774,1258619.44,1
73,49,91.49,3254632.75,Retail Shop,54264.31,3308897.06,Gold/Jewelry,475172.36,431,2318692.55,1
27,3,56.2,1999188.83,None,0,1999188.83,Land Title Deeds,5506583.99,716,1482544.08,1
47,23,89.39,2142329.83,None,0,2142329.83,Fixed Deposit,458366.21,765,2289015.55,1
21,0,31.88,1102386.73,Government Pension,133973.44,1236360.17,Land Title Deeds,2432599.03,656,896037.07,1
42,18,42.52,1215332.03,None,0,1215332.03,Land Title Deeds,2397325.32,501,1099978.62,1
58,34,27.89,898541.25,Government Pension,126063.97,1024605.22,Land Title Deeds,2757140.05,478,787421.92,1
28,7,33.85,1097049.55,Dairy,118902.81,1215952.35,Land Title Deeds,2059407.45,595,927321.17,1
36,15,29.85,1364673.14,None,0,1364673.14,Gold/Jewelry,448882.56,670,796578.31,1
62,39,87.44,1635240.61,Retail Shop,51059.89,1686300.5,Land Title Deeds,5897657.25,709,2282239.51,1
48,27,79.27,1981522.52,Dairy,153645.06,2135167.58,None,0,627,1998536.39,0
70,50,9.86,271942.68,Retail Shop,135536.07,407478.76,Land Title Deeds,791945.25,557,279598.82,1
70,49,5.47,170459.31,None,0,170459.31,None,0,670,228727.54,0
22,2,95.53,2816176.56,None,0,2816176.56,Tractor/Machinery,717412.81,428,2483814.02,0
57,36,75.99,2271808.95,Retail Shop,148101.65,2419910.6,Gold/Jewelry,210111.46,505,1958963.98,1
48,26,88.41,1530169.62,None,0,1530169.62,Land Title Deeds,6754074.07,563,2240611.09,1
69,48,60.24,1848877.98,Dairy,68754.77,1917632.76,Land Title Deeds,3952705.59,659,1536563.59,1
71,47,65.8,2103974.36,None,0,2103974.36,Tractor/Machinery,1106981.29,561,1694589.77,0
69,49,93.49,2995144.86,Dairy,59409.76,3054554.62,Land Title Deeds,6090420.5,627,2416180.14,1
27,4,10.5,240713.49,Agri-Services,50840.78,291554.27,Land Title Deeds,862713.57,547,349514.76,1
46,23,26.21,716145.41,None,0,716145.41,Land Title Deeds,1575636.68,631,668506.94,1
43,19,62.95,1985819.25,Retail Shop,77305.74,2063125,Land Title Deeds,4122532.38,802,1599264.77,1
28,7,79.22,3194357.93,Poultry,177929.02,3372286.94,Land Title Deeds,5527418.27,672,1999070.24,1
31,10,86.7,2621728.17,Dairy,109915.86,2731644.04,Land Title Deeds,7151783.68,555,2220991.7,1
73,50,16.85,417946.33,Poultry,108003.95,525950.28,Gold/Jewelry,904892.09,673,515191.48,1
37,14,51.12,2238947.16,None,0,2238947.16,Land Title Deeds,3625131.42,432,1313835.32,1
74,50,62.08,1603605.24,Dairy,81346.05,1684951.3,Gold/Jewelry,501490.91,620,1619658.07,1
57,35,7.13,298805.11,Agri-Services,134085.72,432890.83,Fixed Deposit,366269.81,590,261364.36,1
55,35,73.7,1494306.11,Poultry,106893.3,1601199.41,Land Title Deeds,5481092.96,755,1936325.81,1
25,5,78.56,1824330.12,Agri-Services,80453.65,1904783.78,Land Title Deeds,5619881.53,525,2012423.01,1
46,26,79.89,2961401.06,None,0,2961401.06,Land Title Deeds,7578133.91,657,2082708.94,1
44,20,73.36,1860558.08,Agri-Services,73477.68,1934035.77,Gold/Jewelry,750661.8,567,1917001.2,1
31,11,6.1,181421.19,Dairy,151775.35,333196.54,Land Title Deeds,305349.54,676,187571.89,1
28,7,57.83,1385918.88,None,0,1385918.88,Gold/Jewelry,672807.53,590,1523860.13,0
56,36,12.31,346887.34,None,0,346887.34,Land Title Deeds,860031.68,559,319217.86,1
75,50,37.7,1194341.37,Agri-Services,74083.66,1268425.03,Tractor/Machinery,581653.94,483,1016584.94,1
21,0,4.3,154822.65,Dairy,98103.65,252926.29,Gold/Jewelry,932337,661,182216.29,1
43,23,60.47,2024497.45,None,0,2024497.45,Fixed Deposit,246230.98,828,1575690.72,1
47,25,64.08,2871552.23,Government Pension,89273.13,2960825.36,Land Title Deeds,6306252.62,565,1648417.79,1
54,33,22.58,762800.12,Dairy,90128.35,852928.47,None,0,798,598553.77,0
63,40,8.86,401328.5,Retail Shop,91503.47,492831.97,Land Title Deeds,516073.58,635,232827.03,1
27,6,93.11,1534913.24,Retail Shop,85910.32,1620823.55,Land Title Deeds,6735964.2,541,2383819.07,1
52,28,43.15,1555714.37,Poultry,262203.74,1817918.11,Land Title Deeds,2227352.93,818,1113339.08,1
52,28,13.75,226511.44,None,0,226511.44,Tractor/Machinery,479208.94,737,358772.74,1
72,48,38.54,1287575.41,Poultry,287106.25,1574681.66,Land Title Deeds,2060155.4,526,989826.02,1
45,21,62.39,1369859.29,Dairy,140980.98,1510840.27,Land Title Deeds,5532896.54,434,1637518.31,1
29,6,28.03,1112808.97,None,0,1112808.97,Fixed Deposit,341372.91,701,737751.12,1
31,8,8.22,309006.4,Dairy,102112.35,411118.75,Land Title Deeds,466508.52,675,267068.22,1
74,50,38.92,1292868.42,Dairy,70195.38,1363063.79,Land Title Deeds,2884402.87,512,1013678.02,1
38,17,66.34,1443003.83,Poultry,277224.55,1720228.38,Land Title Deeds,4205474.26,623,1670843.56,1
65,45,75.89,2584868.69,None,0,2584868.69,Land Title Deeds,6823901.46,629,1953072.95,1
23,2,70.57,1597893.27,Dairy,55496.96,1653390.23,Land Title Deeds,4753087.12,601,1810653.55,1
52,31,39.59,1146971.42,Dairy,88949.32,1235920.74,Land Title Deeds,3549860.9,709,1031769.12,1
58,34,37.89,1429494.8,None,0,1429494.8,Land Title Deeds,3213308.1,547,979610.72,1
48,27,43.81,944118.82,None,0,944118.82,Land Title Deeds,3200784.87,612,1191507.18,1
41,17,80.94,2132868.09,Poultry,279605.92,2412474.01,None,0,636,2110386.33,0
59,35,82.09,1760221.41,None,0,1760221.41,Gold/Jewelry,607260.57,742,2072309.79,1
61,39,10.09,249086.85,Poultry,211550.36,460637.21,Land Title Deeds,949943,850,273535.1,1
61,40,67.37,2356147.12,None,0,2356147.12,Land Title Deeds,6126244.07,525,1725286.68,1
38,18,86.58,2320226.3,None,0,2320226.3,Fixed Deposit,178331.01,682,2256510.99,1
63,42,51.52,1097449.09,Dairy,114714.3,1212163.39,Land Title Deeds,4899073.29,535,1360429.15,1
41,20,63.29,2267842.51,Poultry,214202.85,2482045.35,Land Title Deeds,3407891.06,596,1666138.29,1
22,0,70.43,2148974.56,Government Pension,85688.51,2234663.07,Land Title Deeds,6935374.56,490,1794913.51,1
71,50,34.26,756372.31,Dairy,62052.8,818425.11,Land Title Deeds,2024571.36,734,949056.8,1
21,1,96.8,3341822.09,Government Pension,98333.69,3440155.78,Land Title Deeds,6071749.97,616,2440297.83,1
27,6,69.41,1830917.37,None,0,1830917.37,Land Title Deeds,4862715.24,742,1808007.97,1
25,5,92.22,1711516.44,Poultry,96531.93,1808048.37,Land Title Deeds,8735708.35,621,2402104.8,1
58,36,3.27,140802.57,Poultry,105984.49,246787.06,Land Title Deeds,284250.06,558,131478.86,1
71,50,52.59,1760139.28,Retail Shop,61376.07,1821515.35,Land Title Deeds,3299935.04,723,1396702.13,1
47,27,6.57,262815.31,None,0,262815.31,Tractor/Machinery,684138.86,713,219924.46,1
22,2,6.61,224677.14,Poultry,119611.83,344288.97,Land Title Deeds,496044.08,805,230093.54,1
39,15,58.68,976611.75,Poultry,102520.63,1079132.38,Land Title Deeds,4071033.86,516,1543839.49,1
36,13,74.83,2715548.36,None,0,2715548.36,Gold/Jewelry,961152.01,749,1909904.77,1
38,17,37.59,1226422.23,None,0,1226422.23,Land Title Deeds,1931141.22,693,958400.95,1
71,49,14.81,281317.53,Poultry,85849.23,367166.75,Land Title Deeds,985325.07,711,393177.18,1
25,5,51.29,1263990.51,Retail Shop,49483.88,1313474.39,Land Title Deeds,5100276.32,602,1334942.96,1
21,1,38.49,1523395.89,Government Pension,49435.63,1572831.52,None,0,584,991721.41,0
68,44,68.75,3589475.39,None,0,3589475.39,Land Title Deeds,4585890.93,850,1817673.08,1
71,50,14.53,442032.69,Poultry,166105.98,608138.67,Land Title Deeds,915333.83,721,375530.85,1
38,17,86.13,2810167.68,None,0,2810167.68,Tractor/Machinery,1026714.06,637,2245137.28,1
33,10,20.84,502285.79,Agri-Services,63003.5,565289.28,Gold/Jewelry,986564.15,549,590262.51,1
45,23,52.3,1847591.67,Retail Shop,54239.78,1901831.45,Fixed Deposit,370333.57,711,1355163.94,1
47,27,91.76,3353680.01,Dairy,90545.43,3444225.44,Land Title Deeds,5493904.45,647,2367096.09,1
60,37,55.3,1832780.01,None,0,1832780.01,Land Title Deeds,5269134.61,790,1476354.65,1
69,48,54.76,1601692.02,Poultry,200005.8,1801697.83,Gold/Jewelry,693857.47,603,1452132.63,1
43,19,32.22,945752.23,Agri-Services,91827.62,1037579.85,Land Title Deeds,3000251.3,728,842730.73,1
34,11,86.67,2661508.13,None,0,2661508.13,Land Title Deeds,4799282.79,646,2198959.53,1
66,42,79.6,2128940.37,Dairy,177399.02,2306339.39,Land Title Deeds,7735356.29,571,2056678.39,1
49,27,40.2,1386015.91,Poultry,288381.86,1674397.77,Land Title Deeds,3056809.27,575,1037249.28,1
36,14,78.37,2156632.8,Government Pension,141527.72,2298160.52,Land Title Deeds,4999394.31,644,1978078.43,1
53,30,63.92,1519997.67,Agri-Services,68890.28,1588887.96,Land Title Deeds,3382180.17,614,1685686.47,1
50,29,59.06,2400267.84,Agri-Services,86556.44,2486824.29,Land Title Deeds,5809747.75,591,1558228.1,1
40,18,40.52,1011562.81,Dairy,194900.44,1206463.25,Land Title Deeds,3989843.31,556,1099390.26,1
46,22,61.25,1979858.91,Agri-Services,78567.99,2058426.9,None,0,702,1608519.7,0
27,3,31.83,1112991.71,Agri-Services,147510.07,1260501.78,Gold/Jewelry,512754.06,629,835236.94,1
22,0,65.62,2847614.99,None,0,2847614.99,Land Title Deeds,6066427.83,816,1659264.03,1
70,49,63.03,1594869.53,Dairy,62857.24,1657726.76,Land Title Deeds,5679039.79,803,1593154.51,1
58,36,47.79,1264749.4,None,0,1264749.4,Land Title Deeds,2807870.01,739,1279738.48,1
43,21,12.79,443349.06,Government Pension,72852.81,516201.87,Land Title Deeds,886784.64,489,400705.44,1
55,32,98.25,3125590.32,Retail Shop,98622.04,3224212.36,Land Title Deeds,5699727.98,643,2532966.07,1
62,40,50.32,923666.74,None,0,923666.74,Land Title Deeds,4771939.2,719,1296739.75,1
74,50,34.66,1068435.13,Agri-Services,57798.54,1126233.66,Land Title Deeds,2536053.62,467,947276.1,1
40,16,56.25,1495714.37,Dairy,162179.27,1657893.64,Land Title Deeds,3128370.32,648,1451194.43,1
74,50,76.82,2882908.36,Agri-Services,109361.33,2992269.7,Land Title Deeds,5025013.7,631,1966812.14,1
32,10,16.78,515100.39,Poultry,135586.22,650686.61,Fixed Deposit,360533.19,643,455139.39,1
50,27,80.9,2774790.03,None,0,2774790.03,Tractor/Machinery,739923.87,568,2069300.29,0
53,33,37.38,1119959.56,None,0,1119959.56,Land Title Deeds,3497495.1,488,1005817.74,1
61,37,5.17,163974.2,Poultry,298018.86,461993.06,Land Title Deeds,364652.92,544,147308.91,1
55,35,93.5,3376442.88,None,0,3376442.88,Land Title Deeds,7875737.69,600,2398138.02,1
42,22,14.71,326156.64,Retail Shop,125571.83,451728.46,Land Title Deeds,1421954.29,730,381428.58,1
49,25,26.88,279125.09,Retail Shop,97215.47,376340.56,Land Title Deeds,1895916.66,578,749939.12,1
24,4,2.11,56321.79,Agri-Services,88983.06,145304.85,Land Title Deeds,118760.36,787,110863.55,1
41,20,27.41,857434.29,None,0,857434.29,Land Title Deeds,2648161.05,613,699020.09,1
60,37,72.79,1394360.09,Poultry,101790.94,1496151.03,Tractor/Machinery,506003.54,850,1875803.06,1
29,5,14.75,473262.07,Agri-Services,127781.82,601043.9,Land Title Deeds,1436092.87,539,383734.77,1
26,2,87.77,3201963.18,None,0,3201963.18,Land Title Deeds,6519153.2,605,2290849.31,1
69,47,70.44,1779836.66,Dairy,65943.95,1845780.6,Land Title Deeds,5571854.12,710,1840719.31,1
43,20,95.01,3618167.87,Dairy,154226.65,3772394.51,Gold/Jewelry,273235.24,850,2391134.34,1
44,23,21.29,771019.46,None,0,771019.46,Land Title Deeds,1164190.91,702,623887.17,1
69,47,25,429712.82,Government Pension,70698.93,500411.75,Land Title Deeds,1683435.32,535,694749.99,1
52,28,93.03,2921390.64,Dairy,121813.93,3043204.57,Tractor/Machinery,390253.31,615,2367423.11,1
26,6,65.84,2310190.41,None,0,2310190.41,Land Title Deeds,4191309.34,577,1662722.57,1
30,6,16.38,502437.14,None,0,502437.14,Land Title Deeds,1534969.18,681,472786.4,1
54,33,29.54,963196.18,Poultry,205015.65,1168211.83,Gold/Jewelry,938573.2,745,762212.82,1
53,32,77.17,1957100.2,Poultry,164796.12,2121896.31,Land Title Deeds,4822500.7,526,1969713.24,1
30,9,12.45,506107.02,Poultry,255461.54,761568.56,Land Title Deeds,921639.78,486,403313.25,1
36,13,61.39,1209105.19,Agri-Services,100330.48,1309435.66,Land Title Deeds,5689073.79,792,1592707.08,1
74,50,62.77,2168041.95,Retail Shop,78748.67,2246790.62,Land Title Deeds,4184911.08,647,1665473.53,1
43,19,61.66,2295073.68,Agri-Services,113159.28,2408232.96,Gold/Jewelry,937895.38,589,1637534.78,1
48,24,59.16,1474165.96,None,0,1474165.96,Land Title Deeds,5573673.66,487,1524088.88,1
58,35,95.09,2590574.38,None,0,2590574.38,None,0,641,2473881.91,0
21,0,71.63,2229788.85,None,0,2229788.85,None,0,486,1840095.08,0
65,44,43.72,1550841.72,None,0,1550841.72,Land Title Deeds,3017425.28,422,1169374.78,1
29,6,31.75,561151.69,None,0,561151.69,Land Title Deeds,1726280.03,791,848126.05,1
21,0,35.39,1267234.19,Retail Shop,63177.4,1330411.59,Tractor/Machinery,414277.59,588,903390.38,0
23,3,30.97,855243.36,Poultry,101837.45,957080.81,Land Title Deeds,2016446.76,483,863227.3,1
